iter	Passed	Remaining
0	3	3548
1	8	4329
2	13	4429
3	18	4492
4	23	4716
5	28	4666
6	32	4668
7	38	4750
8	43	4743
9	47	4742
10	53	4846
11	59	4907
12	64	4901
13	70	4931
14	75	4953
15	80	4954
16	87	5056
17	92	5062
18	97	5043
19	104	5099
20	109	5093
21	115	5117
22	120	5129
23	125	5116
24	131	5137
25	137	5135
26	141	5114
27	148	5154
28	153	5151
29	159	5146
30	165	5165
31	171	5175
32	176	5163
33	202	5758
34	208	5735
35	214	5743
36	220	5727
37	225	5705
38	231	5715
39	237	5700
40	243	5687
41	249	5685
42	254	5667
43	260	5662
44	266	5662
45	272	5649
46	279	5672
47	285	5662
48	291	5658
49	298	5663
50	303	5646
51	309	5645
52	315	5631
53	320	5614
54	328	5639
55	333	5620
56	340	5634
57	361	5875
58	367	5865
59	373	5844
60	378	5819
61	383	5803
62	389	5799
63	395	5782
64	400	5761
65	407	5768
66	414	5765
67	419	5749
68	425	5742
69	431	5726
70	436	5716
71	442	5705
72	447	5684
73	453	5675
74	459	5667
75	464	5649
76	471	5650
77	477	5642
78	484	5650
79	491	5647
80	496	5635
81	502	5628
82	508	5614
83	513	5598
84	519	5594
85	525	5589
86	531	5581
87	551	5714
88	556	5700
89	561	5676
90	566	5657
91	571	5636
92	575	5615
93	580	5599
94	586	5583
95	590	5561
96	594	5538
97	602	5545
98	607	5525
99	611	5504
100	617	5494
101	622	5478
102	627	5464
103	632	5449
104	636	5427
105	641	5406
106	646	5397
107	650	5376
108	655	5358
109	661	5354
110	667	5346
111	673	5341
112	685	5377
113	690	5366
114	717	5524
115	722	5502
116	727	5488
117	731	5469
118	736	5450
119	741	5435
120	746	5426
121	752	5412
122	756	5394
123	762	5384
124	766	5364
125	770	5346
126	775	5333
127	780	5317
128	784	5299
129	790	5292
130	795	5280
131	800	5263
132	806	5256
133	811	5245
134	816	5230
135	821	5218
136	826	5204
137	831	5191
138	837	5185
139	842	5175
140	847	5163
141	851	5147
142	858	5145
143	863	5135
144	871	5137
145	876	5129
146	883	5125
147	889	5117
148	894	5110
149	901	5109
150	909	5115
151	916	5114
152	922	5105
153	926	5092
154	933	5091
155	939	5083
156	945	5077
157	955	5091
158	961	5083
159	967	5081
160	975	5082
161	982	5084
162	989	5080
163	997	5085
164	1005	5089
165	1013	5094
166	1020	5089
167	1026	5081
168	1033	5082
169	1038	5071
170	1050	5091
171	1067	5141
172	1073	5132
173	1083	5144
174	1093	5154
175	1132	5302
176	1137	5291
177	1162	5367
178	1166	5351
179	1174	5348
180	1210	5476
181	1214	5458
182	1220	5449
183	1225	5436
184	1230	5419
185	1236	5411
186	1241	5398
187	1245	5380
188	1252	5376
189	1257	5360
190	1261	5343
191	1270	5347
192	1274	5330
193	1279	5316
194	1300	5368
195	1304	5351
196	1308	5335
197	1314	5323
198	1318	5306
199	1322	5290
200	1326	5273
201	1331	5259
202	1335	5242
203	1339	5226
204	1344	5213
205	1349	5200
206	1353	5183
207	1357	5169
208	1363	5159
209	1367	5144
210	1371	5128
211	1377	5121
212	1383	5110
213	1387	5097
214	1392	5084
215	1396	5070
216	1401	5056
217	1405	5041
218	1412	5036
219	1416	5021
220	1420	5008
221	1426	5000
222	1431	4987
223	1436	4976
224	1440	4963
225	1445	4951
226	1450	4939
227	1456	4931
228	1461	4920
229	1466	4908
230	1471	4898
231	1477	4890
232	1482	4880
233	1489	4874
234	1494	4863
235	1499	4854
236	1507	4853
237	1513	4846
238	1518	4833
239	1523	4824
240	1529	4816
241	1534	4807
242	1557	4850
243	1561	4839
244	1566	4827
245	1573	4822
246	1578	4812
247	1583	4800
248	1616	4874
249	1625	4876
250	1631	4868
251	1659	4925
252	1666	4921
253	1676	4922
254	1684	4922
255	1690	4911
256	1698	4909
257	1719	4945
258	1724	4933
259	1731	4928
260	1736	4916
261	1741	4904
262	1747	4898
263	1753	4888
264	1761	4886
265	1769	4884
266	1779	4885
267	1785	4875
268	1794	4877
269	1801	4870
270	1810	4870
271	1818	4866
272	1839	4897
273	1847	4894
274	1865	4916
275	1874	4917
276	1917	5004
277	1930	5013
278	1970	5091
279	1975	5080
280	1979	5065
281	1985	5054
282	1989	5040
283	1993	5025
284	1999	5017
285	2004	5004
286	2008	4989
287	2012	4975
288	2018	4966
289	2022	4952
290	2027	4939
291	2032	4927
292	2036	4914
293	2040	4900
294	2045	4888
295	2049	4875
296	2053	4861
297	2057	4847
298	2066	4844
299	2070	4830
300	2075	4819
301	2080	4808
302	2085	4796
303	2089	4784
304	2096	4777
305	2101	4765
306	2105	4753
307	2111	4743
308	2115	4731
309	2120	4718
310	2125	4708
311	2129	4696
312	2133	4683
313	2138	4671
314	2143	4660
315	2147	4649
316	2152	4637
317	2158	4628
318	2163	4617
319	2167	4605
320	2173	4596
321	2178	4586
322	2182	4574
323	2187	4563
324	2192	4553
325	2196	4542
326	2201	4530
327	2208	4524
328	2212	4513
329	2217	4501
330	2222	4492
331	2227	4482
332	2232	4470
333	2236	4460
334	2241	4449
335	2245	4437
336	2250	4427
337	2256	4418
338	2260	4407
339	2264	4396
340	2270	4387
341	2275	4377
342	2279	4365
343	2284	4356
344	2289	4346
345	2294	4336
346	2299	4327
347	2304	4317
348	2308	4306
349	2313	4295
350	2319	4289
351	2324	4279
352	2328	4267
353	2334	4261
354	2339	4251
355	2344	4240
356	2349	4232
357	2354	4221
358	2358	4210
359	2363	4202
360	2368	4192
361	2374	4184
362	2379	4175
363	2384	4166
364	2389	4156
365	2393	4145
366	2398	4136
367	2402	4125
368	2406	4114
369	2411	4106
370	2417	4098
371	2421	4087
372	2425	4077
373	2431	4069
374	2436	4060
375	2440	4049
376	2445	4042
377	2450	4032
378	2455	4022
379	2460	4014
380	2465	4004
381	2469	3995
382	2475	3987
383	2479	3978
384	2484	3968
385	2489	3959
386	2494	3951
387	2500	3943
388	2506	3937
389	2511	3928
390	2516	3918
391	2521	3910
392	2526	3902
393	2531	3893
394	2536	3885
395	2541	3877
396	2546	3867
397	2552	3860
398	2557	3851
399	2561	3842
400	2566	3833
401	2571	3824
402	2575	3815
403	2579	3805
404	2585	3798
405	2590	3789
406	2594	3780
407	2599	3771
408	2605	3764
409	2609	3755
410	2613	3745
411	2621	3741
412	2626	3732
413	2630	3723
414	2637	3717
415	2641	3708
416	2645	3699
417	2651	3691
418	2655	3682
419	2660	3673
420	2665	3665
421	2670	3657
422	2674	3648
423	2679	3640
424	2684	3632
425	2689	3623
426	2694	3615
427	2699	3608
428	2704	3600
429	2709	3591
430	2715	3584
431	2719	3576
432	2724	3567
433	2747	3582
434	2751	3573
435	2755	3564
436	2760	3556
437	2765	3548
438	2769	3539
439	2774	3530
440	2778	3522
441	2782	3513
442	2787	3504
443	2792	3497
444	2797	3489
445	2802	3480
446	2806	3472
447	2811	3464
448	2816	3455
449	2820	3447
450	2826	3440
451	2830	3432
452	2835	3423
453	2840	3416
454	2845	3408
455	2850	3400
456	2855	3392
457	2860	3384
458	2864	3376
459	2868	3367
460	2874	3360
461	2879	3352
462	2883	3344
463	2889	3338
464	2895	3330
465	2901	3324
466	2908	3319
467	2914	3312
468	2919	3305
469	2924	3297
470	2928	3289
471	2934	3282
472	2939	3275
473	2944	3267
474	2949	3260
475	2953	3251
476	2958	3243
477	2962	3235
478	2967	3227
479	2971	3219
480	2976	3211
481	2981	3204
482	2986	3196
483	2990	3188
484	2995	3180
485	3000	3173
486	3004	3165
487	3009	3157
488	3014	3149
489	3018	3141
490	3023	3133
491	3028	3127
492	3034	3120
493	3038	3112
494	3043	3105
495	3049	3098
496	3053	3090
497	3057	3082
498	3063	3075
499	3068	3068
500	3072	3060
501	3079	3055
502	3084	3048
503	3089	3040
504	3095	3033
505	3100	3026
506	3105	3019
507	3123	3024
508	3127	3017
509	3131	3009
510	3136	3001
511	3143	2996
512	3147	2988
513	3152	2980
514	3158	2974
515	3162	2966
516	3167	2958
517	3172	2951
518	3177	2944
519	3181	2936
520	3186	2929
521	3191	2922
522	3195	2914
523	3199	2906
524	3205	2899
525	3209	2892
526	3214	2884
527	3218	2877
528	3223	2870
529	3228	2862
530	3232	2854
531	3238	2849
532	3243	2841
533	3247	2833
534	3252	2827
535	3257	2819
536	3261	2812
537	3266	2805
538	3271	2798
539	3275	2790
540	3279	2782
541	3285	2776
542	3289	2768
543	3293	2761
544	3301	2756
545	3307	2749
546	3312	2743
547	3318	2736
548	3322	2729
549	3327	2722
550	3332	2715
551	3336	2708
552	3341	2700
553	3346	2693
554	3363	2697
555	3368	2689
556	3372	2682
557	3377	2675
558	3382	2668
559	3386	2660
560	3390	2653
561	3395	2646
562	3399	2638
563	3404	2631
564	3410	2625
565	3416	2619
566	3420	2612
567	3425	2605
568	3430	2598
569	3435	2591
570	3439	2583
571	3447	2579
572	3451	2572
573	3456	2565
574	3461	2558
575	3466	2551
576	3470	2544
577	3476	2538
578	3480	2531
579	3485	2523
580	3490	2517
581	3495	2510
582	3500	2504
583	3508	2499
584	3513	2492
585	3518	2485
586	3523	2479
587	3528	2472
588	3532	2465
589	3540	2460
590	3544	2453
591	3549	2446
592	3555	2440
593	3560	2433
594	3564	2426
595	3570	2420
596	3574	2413
597	3578	2405
598	3584	2399
599	3588	2392
600	3593	2385
601	3598	2378
602	3607	2375
603	3612	2368
604	3618	2362
605	3622	2355
606	3627	2348
607	3633	2342
608	3638	2335
609	3643	2329
610	3649	2323
611	3655	2317
612	3659	2310
613	3664	2303
614	3669	2297
615	3673	2290
616	3678	2283
617	3683	2277
618	3688	2270
619	3693	2263
620	3713	2266
621	3719	2260
622	3725	2254
623	3730	2247
624	3734	2240
625	3738	2233
626	3744	2227
627	3749	2220
628	3753	2213
629	3758	2207
630	3763	2200
631	3767	2193
632	3772	2186
633	3777	2180
634	3781	2173
635	3785	2166
636	3791	2160
637	3796	2154
638	3800	2147
639	3805	2140
640	3811	2134
641	3815	2127
642	3820	2121
643	3826	2115
644	3830	2108
645	3835	2101
646	3844	2097
647	3849	2090
648	3854	2084
649	3875	2086
650	3880	2080
651	3884	2073
652	3891	2067
653	3895	2060
654	3898	2053
655	3903	2046
656	3907	2040
657	3911	2033
658	3915	2026
659	3920	2019
660	3924	2012
661	3929	2006
662	3933	1999
663	3938	1992
664	3942	1985
665	3946	1978
666	3951	1972
667	3955	1965
668	3959	1958
669	3963	1952
670	3968	1945
671	3972	1938
672	3975	1931
673	3979	1924
674	3995	1923
675	4001	1918
676	4006	1911
677	4010	1904
678	4015	1898
679	4019	1891
680	4023	1884
681	4027	1878
682	4039	1875
683	4043	1868
684	4049	1862
685	4053	1855
686	4057	1848
687	4062	1842
688	4067	1835
689	4070	1828
690	4074	1822
691	4080	1815
692	4084	1809
693	4087	1802
694	4091	1795
695	4096	1789
696	4100	1782
697	4105	1776
698	4110	1769
699	4117	1764
700	4123	1758
701	4131	1753
702	4137	1747
703	4147	1743
704	4153	1737
705	4160	1732
706	4165	1726
707	4170	1720
708	4179	1715
709	4184	1709
710	4189	1703
711	4193	1696
712	4197	1689
713	4201	1682
714	4206	1676
715	4210	1670
716	4214	1663
717	4218	1656
718	4223	1650
719	4227	1644
720	4231	1637
721	4236	1631
722	4241	1624
723	4245	1618
724	4248	1611
725	4254	1605
726	4260	1599
727	4264	1593
728	4269	1587
729	4274	1580
730	4278	1574
731	4281	1567
732	4287	1561
733	4291	1555
734	4295	1548
735	4299	1542
736	4304	1535
737	4308	1529
738	4313	1523
739	4318	1517
740	4322	1510
741	4327	1504
742	4331	1498
743	4336	1492
744	4340	1485
745	4343	1479
746	4350	1473
747	4355	1467
748	4359	1460
749	4364	1454
750	4369	1448
751	4372	1442
752	4376	1435
753	4396	1434
754	4399	1427
755	4403	1421
756	4407	1414
757	4412	1408
758	4416	1402
759	4420	1395
760	4424	1389
761	4429	1383
762	4432	1376
763	4436	1370
764	4440	1364
765	4446	1358
766	4451	1352
767	4454	1345
768	4458	1339
769	4464	1333
770	4468	1327
771	4471	1320
772	4476	1314
773	4481	1308
774	4485	1302
775	4489	1296
776	4494	1290
777	4498	1283
778	4502	1277
779	4509	1271
780	4514	1265
781	4518	1259
782	4524	1253
783	4529	1247
784	4533	1241
785	4539	1235
786	4544	1229
787	4547	1223
788	4552	1217
789	4559	1211
790	4563	1205
791	4567	1199
792	4573	1193
793	4578	1187
794	4582	1181
795	4586	1175
796	4591	1169
797	4595	1163
798	4599	1157
799	4605	1151
800	4609	1145
801	4613	1139
802	4618	1133
803	4625	1127
804	4629	1121
805	4634	1115
806	4640	1109
807	4644	1103
808	4648	1097
809	4654	1091
810	4658	1085
811	4662	1079
812	4666	1073
813	4671	1067
814	4675	1061
815	4679	1055
816	4684	1049
817	4688	1043
818	4692	1037
819	4696	1030
820	4703	1025
821	4707	1019
822	4711	1013
823	4716	1007
824	4721	1001
825	4724	995
826	4732	989
827	4737	984
828	4742	978
829	4748	972
830	4752	966
831	4756	960
832	4760	954
833	4766	948
834	4771	942
835	4775	936
836	4780	931
837	4784	924
838	4788	918
839	4792	912
840	4798	907
841	4802	901
842	4806	895
843	4810	889
844	4815	883
845	4819	877
846	4823	871
847	4828	865
848	4832	859
849	4836	853
850	4840	847
851	4845	841
852	4849	835
853	4853	829
854	4857	823
855	4881	821
856	4885	815
857	4889	809
858	4912	806
859	4917	800
860	4921	794
861	4927	788
862	4931	782
863	4935	776
864	4940	771
865	4944	765
866	4948	759
867	4952	753
868	4956	747
869	4960	741
870	4964	735
871	4967	729
872	4972	723
873	4976	717
874	4979	711
875	4983	705
876	4989	699
877	4993	693
878	4996	687
879	5000	681
880	5004	676
881	5008	670
882	5012	664
883	5015	658
884	5019	652
885	5023	646
886	5027	640
887	5030	634
888	5036	628
889	5042	623
890	5046	617
891	5050	611
892	5054	605
893	5057	599
894	5061	593
895	5066	588
896	5090	584
897	5094	578
898	5098	572
899	5104	567
900	5108	561
901	5111	555
902	5115	549
903	5119	543
904	5123	537
905	5127	531
906	5133	526
907	5137	520
908	5140	514
909	5144	508
910	5148	503
911	5152	497
912	5155	491
913	5159	485
914	5165	479
915	5169	474
916	5173	468
917	5176	462
918	5197	458
919	5201	452
920	5205	446
921	5208	440
922	5212	434
923	5215	428
924	5218	423
925	5221	417
926	5228	411
927	5231	405
928	5235	400
929	5238	394
930	5243	388
931	5247	382
